datahora,fluxo,es,vagas_ocupadas
2023-03-19 15:45:00,18,1,57
2023-03-19 15:45:00,-20,2,37
2023-03-19 16:00:00,15,1,52
2023-03-19 16:00:00,-18,2,34
2023-03-19 16:15:00,17,1,51
2023-03-19 16:15:00,-19,2,32
2023-03-19 16:30:00,15,1,47
2023-03-19 16:30:00,-15,2,32
2023-03-19 16:45:00,16,1,48
2023-03-19 16:45:00,-19,2,29
2023-03-19 17:00:00,15,1,44
2023-03-19 17:00:00,-19,2,25
2023-03-19 17:15:00,13,1,38
2023-03-19 17:15:00,-16,2,22
2023-03-19 17:30:00,14,1,36
2023-03-19 17:30:00,-14,2,22
2023-03-19 17:45:00,11,1,33
2023-03-19 17:45:00,-12,2,21
2023-03-19 18:00:00,12,1,33
2023-03-19 18:00:00,-12,2,21
2023-03-19 18:15:00,15,1,36
2023-03-19 18:15:00,-8,2,28
2023-03-19 18:30:00,17,1,45
2023-03-19 18:30:00,-17,2,28
2023-03-19 18:45:00,15,1,43
2023-03-19 18:45:00,-16,2,27
2023-03-19 19:00:00,14,1,41
2023-03-19 19:00:00,-14,2,27
2023-03-19 19:15:00,11,1,38
2023-03-19 19:15:00,-15,2,23
2023-03-19 19:30:00,18,1,41
2023-03-19 19:30:00,-11,2,30
2023-03-19 19:45:00,12,1,42
2023-03-19 19:45:00,-21,2,21
2023-03-19 20:00:00,14,1,35
2023-03-19 20:00:00,-12,2,23
2023-03-19 20:15:00,12,1,35
2023-03-19 20:15:00,-17,2,18
2023-03-19 20:30:00,14,1,32
2023-03-19 20:30:00,-7,2,25
2023-03-19 20:45:00,12,1,37
2023-03-19 20:45:00,-17,2,20
2023-03-19 21:00:00,15,1,35
2023-03-19 21:00:00,-9,2,26
2023-03-19 21:15:00,7,1,33
2023-03-19 21:15:00,-14,2,19
2023-03-19 21:30:00,-9,2,10
2023-03-19 21:45:00,-9,2,1
2023-03-19 22:00:00,-1,2,0
